id,name,company_name,email,first_touch_channel,last_touch_channel
1,Elwira O'Cannovane,Macejkovic-Von,eocannovane0@stumbleupon.com,channel1,channel2
2,Bidget Cundict,Greenfelder-Stiedemann,bcundict1@devhub.com,channel4,channel1
3,Tymon Gobolos,Gibson and Sons,tgobolos2@over-blog.com,channel5,channel2
4,Dougie Scawen,Collier-Schoen,dscawen3@businessinsider.com,channel3,channel3
5,Max Rowson,Mueller LLC,mrowson4@squarespace.com,channel1,channel4
6,Kattie Gisburne,Koelpin Inc,kgisburne5@mail.ru,channel2,channel2
7,Regan Lappin,Orn-Bayer,rlappin6@sitemeter.com,channel4,channel2
8,Pieter Jerrold,Botsford-Bergstrom,pjerrold7@businessinsider.com,channel2,channel1
9,Silva Bielefeld,"Nolan, Homenick and Bosco",sbielefeld8@aboutads.info,channel2,channel1
10,Alaric Tomich,"Bahringer, Brown and Grimes",atomich9@themeforest.net,channel2,channel2
11,Noach MacDiarmid,"Kovacek, Little and Schinner",nmacdiarmida@prweb.com,channel5,channel5
12,Doria Torricella,"Kub, Jones and Rau",dtorricellab@artisteer.com,channel5,channel4
13,Celle Burriss,Brown Inc,cburrissc@linkedin.com,channel5,channel2
14,Madel Keesman,Hegmann and Sons,mkeesmand@intel.com,channel1,channel5
15,Malinde Heinz,"Romaguera, Orn and Gulgowski",mheinze@seesaa.net,channel3,channel1
16,Lavina Antonov,"Wunsch, Hintz and Turcotte",lantonovf@ow.ly,channel3,channel3
17,Gertrud Linneman,Runolfsdottir-Dibbert,glinnemang@adobe.com,channel1,channel3
18,Felicio Gaunson,Cole-Kovacek,fgaunsonh@google.com.au,channel3,channel2
19,Shaine McMurdo,"Emmerich, Will and Corwin",smcmurdoi@businesswire.com,channel1,channel2
20,Sheilah Reeme,Moen-Franecki,sreemej@weather.com,channel5,channel4
21,Byrom Bowditch,Cummings-Davis,bbowditchk@google.cn,channel2,channel4
22,Coleen Meers,Altenwerth Group,cmeersl@unblog.fr,channel3,channel5
23,Si Sarge,Russel-Kihn,ssargem@accuweather.com,channel4,channel4
24,Brana Cummungs,"Gerhold, Douglas and Schiller",bcummungsn@dell.com,channel1,channel4
25,Bunni MacBrearty,Lindgren-Schuster,bmacbreartyo@blinklist.com,channel4,channel2
26,Flossy Benzing,Hauck LLC,fbenzingp@plala.or.jp,channel2,channel3
