id,created_at,owner_id,name,email,phone,segment,industry,first_touch_channel,last_touch_channel,crm_account_id
1,2023-02-18T17:41:17Z,1,Raye Wycliffe,rwycliffe0@github.com,944-714-7766,segment4,Property-Casualty Insurers,channel2,channel3,1
2,2023-01-15T15:39:29Z,2,Yvette Horley,yhorley1@artisteer.com,692-653-4531,segment4,Television Services,channel4,channel5,2
3,2022-08-31T13:33:10Z,3,Ephrem Tinghill,etinghill2@goo.ne.jp,382-110-2497,segment1,Medical/Dental Instruments,channel5,channel2,3
4,2022-04-29T15:15:19Z,4,Phylys Greveson,pgreveson3@friendfeed.com,670-644-3355,segment2,n/a,channel3,channel2,4
5,2022-10-31T09:04:29Z,5,Orella Glisenan,oglisenan4@thetimes.co.uk,152-934-7446,segment1,n/a,channel3,channel4,5
6,2022-07-10T02:00:45Z,6,Heinrik Funcheon,hfuncheon5@shutterfly.com,751-313-2099,segment4,Property-Casualty Insurers,channel3,channel4,6
7,2022-08-20T13:52:01Z,7,Talbert Meneyer,tmeneyer6@nih.gov,546-615-8002,segment4,Business Services,channel2,channel5,7
8,2022-08-11T14:59:27Z,8,Patton Bierman,pbierman7@skyrock.com,326-723-3223,segment4,Real Estate Investment Trusts,channel5,channel2,8
9,2022-08-09T13:59:47Z,9,Wilone Cradey,wcradey8@macromedia.com,219-215-8702,segment1,Package Goods/Cosmetics,channel3,channel4,9
10,2022-09-18T05:22:42Z,10,Waylin Reford,wreford9@apple.com,726-242-5574,segment1,Environmental Services,channel3,channel1,10
11,2022-10-02T17:48:11Z,11,Jarrett Pepye,jpepyea@angelfire.com,707-578-7839,segment1,Apparel,channel5,channel3,11
12,2022-04-27T11:17:51Z,12,Geordie Seabright,gseabrightb@youtube.com,772-250-1442,segment1,Biotechnology: Laboratory Analytical Instruments,channel4,channel3,12
13,2022-04-05T23:39:44Z,13,Denise Charlet,dcharletc@tinypic.com,812-413-7842,segment4,n/a,channel3,channel5,13
14,2022-08-10T09:16:10Z,14,Sergeant Franklen,sfranklend@ocn.ne.jp,705-484-4046,segment3,Industrial Machinery/Components,channel2,channel4,14
15,2022-02-28T04:29:11Z,15,Eryn Brierley,ebrierleye@hibu.com,282-542-5438,segment3,n/a,channel4,channel5,15
16,2023-01-21T14:07:49Z,16,Brandise Hamm,bhammf@arizona.edu,725-630-6869,segment3,Integrated oil Companies,channel1,channel3,16
17,2022-08-18T01:03:16Z,17,Freddie Fairlaw,ffairlawg@virginia.edu,381-810-5826,segment4,EDP Services,channel2,channel5,17
18,2022-03-20T16:15:34Z,18,Bell Riba,bribah@nymag.com,238-299-5244,segment1,Major Pharmaceuticals,channel1,channel2,18
19,2023-02-21T04:30:49Z,19,Garland Arling,garlingi@dmoz.org,658-354-5550,segment3,n/a,channel3,channel5,19
20,2022-10-01T13:52:09Z,20,Muffin Burnapp,mburnappj@amazon.de,835-382-8128,segment4,Hospital/Nursing Management,channel3,channel2,20
21,2022-12-12T16:16:13Z,21,Reba Whiscard,rwhiscardk@aboutads.info,371-715-4823,segment2,Metal Fabrications,channel3,channel4,21
22,2022-05-08T05:52:49Z,22,Roderic Marquese,rmarquesel@theglobeandmail.com,817-582-9506,segment3,n/a,channel1,channel1,22
23,2022-12-22T21:26:29Z,23,Patin Dood,pdoodm@cdc.gov,326-605-9458,segment4,Real Estate,channel3,channel3,23
24,2022-03-20T02:43:11Z,24,Hermon Firpo,hfirpon@state.tx.us,937-917-6375,segment1,n/a,channel5,channel1,24
25,2022-03-19T10:44:25Z,25,Worthington Nairns,wnairnso@google.com.au,588-153-9650,segment4,Computer Software: Prepackaged Software,channel5,channel1,25
26,2022-11-23T01:10:11Z,26,Chevalier Garham,cgarhamp@istockphoto.com,512-273-8909,segment4,Finance: Consumer Services,channel3,channel2,26
27,2022-10-15T14:38:40Z,27,Nels Chainey,nchaineyq@google.nl,454-380-6467,segment2,Business Services,channel4,channel3,27
28,2022-10-30T00:54:42Z,28,Eve Mascall,emascallr@cam.ac.uk,304-360-6845,segment1,Real Estate Investment Trusts,channel2,channel3,28
29,2022-06-04T10:25:53Z,29,Yorgos Sterman,ystermans@a8.net,778-587-5528,segment1,Consumer Electronics/Video Chains,channel1,channel1,29
30,2022-06-03T05:46:28Z,30,Mellisa Gulc,mgulct@amazonaws.com,597-118-9403,segment3,Precious Metals,channel1,channel1,30
31,2022-06-05T09:03:16Z,31,Fairfax Pawlett,fpawlettu@imdb.com,769-266-9050,segment3,Electrical Products,channel1,channel4,31
32,2022-09-20T15:32:30Z,32,Samuel Stockford,sstockfordv@sakura.ne.jp,497-539-5678,segment1,Professional Services,channel2,channel3,32
33,2022-07-19T03:21:13Z,33,Ruddie Burlay,rburlayw@symantec.com,588-592-4427,segment2,Computer peripheral equipment,channel4,channel2,33
34,2022-05-06T04:32:19Z,34,Jasmina Midgley,jmidgleyx@chicagotribune.com,529-329-7232,segment1,Major Banks,channel4,channel1,34
35,2022-06-04T03:43:09Z,35,Netty Renshall,nrenshally@booking.com,147-737-6929,segment3,n/a,channel2,channel3,35
36,2022-08-16T06:46:30Z,36,Benedicta Carren,bcarrenz@springer.com,558-346-2235,segment4,Business Services,channel1,channel4,36
37,2022-09-29T05:16:39Z,37,Felice Pach,fpach10@google.ru,950-393-2719,segment3,Business Services,channel1,channel3,37
38,2022-12-08T21:45:17Z,38,Evita Capitano,ecapitano11@pcworld.com,428-933-3579,segment3,Computer Software: Prepackaged Software,channel3,channel2,38
